,"bom","BOM16","CharsetEncoding","org.emftext.language.java.types.impl.ByteImpl@38f0ca48","put","out","org.emftext.language.java.types.impl.ByteImpl@17a2d05","high","UTF8BOM","actualMark","low","plain","get","getTextReader","write","read","getTextWriter","org.emftext.language.java.types.impl.ByteImpl@31e6a6d2","in","getPermissiveTextReader","length","count","i","org.emftext.language.java.types.impl.ByteImpl@29c7a399","sample","org.emftext.language.java.types.impl.ByteImpl@1f0377f1","EncodingWithBOM","SequenceInputStream","bomMap","ByteArrayInputStream","UnsupportedCharsetException","arg1","arg0","equals","org.emftext.language.java.types.impl.ByteImpl@4cabd6c3","org.emftext.language.java.types.impl.ByteImpl@2005109d","Arrays","mark"
"bomMap",0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ByteArrayInputStream",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"UnsupportedCharsetException",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"org.emftext.language.java.types.impl.ByteImpl@4cabd6c3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"org.emftext.language.java.types.impl.ByteImpl@2005109d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Arrays",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"mark",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
